Node,s_betweenness
good,0.09737610872937552
money,0.09487673818468559
love,0.08758142046646002
happy,0.06137279338679246
friend,0.05091932894191443
church,0.04060343887801752
school,0.03931198552408683
law,0.0350354340243484
religion,0.028640136505223568
truth,0.02260349716521961
word,0.020368243374958017
strength,0.020122339441446938
food,0.018949415206690683
trust,0.01873409839322687
rule,0.018714863868593265
leader,0.018430389731968082
safe,0.01784880819376756
doctor,0.017794040169812834
teacher,0.01663683334715848
police,0.016561773006125394
important,0.01650462923208575
sex,0.016132635395472442
honor,0.014882366286697826
kind,0.01469860149947116
peace,0.01360384721941054
clean,0.013550552155830972
secret,0.013046553263226648
understand,0.012401242332187095
support,0.011644383285490173
certify,0.011370570562890984
honest,0.010963755413289294
tree,0.010692598305922115
true,0.010623868728770818
mother,0.010031271098866014
president,0.009192447853778396
letter,0.009085500757503459
plan,0.008722875478070057
faith,0.008714638992391634
respect,0.008582740787252553
smile,0.008118713711523897
authority,0.007995289204567371
team,0.007952739261594136
horse,0.007754703908904956
marriage,0.007679962811972375
like,0.007486243692374937
hero,0.007465463970013732
helpful,0.007370796661848572
freedom,0.0073652090608612815
agreement,0.007301238676423143
hope,0.00697694251685921
show,0.0069091877762061295
reliable,0.006858526059795174
perfect,0.0068196156040757575
legal,0.00657136384147658
guide,0.006417888324472394
guard,0.006180245813919442
share,0.005833707656637466
priest,0.005791466826870241
green,0.00569603922856561
honesty,0.005613530254314462
protect,0.005612285154262717
powerful,0.005603484253473207
comfort,0.005546301796332716
bank,0.005510883439986527
measure,0.005443628096080007
win,0.005424243145883066
sweet,0.005365721308887911
agree,0.0052330248226067156
justice,0.0052240508911436615
star,0.0052173983369698616
save,0.005167188165764254
praise,0.005099486827773682
teach,0.004961078512994829
shop,0.004951226425969869
confident,0.004897315489431479
find,0.004883238238718697
engage,0.004834726847280082
hospital,0.004653532463171694
helper,0.0044603297386793415
experience,0.004453958848560288
responsible,0.004385288443833595
patron,0.004374902592649503
credible,0.0043651459540207955
verify,0.00430880203321257
feel,0.004266573376232719
pay,0.004244400788742474
security,0.004118493440999433
prove,0.003981029238554767
intelligent,0.003958360093262818
excite,0.00393829347761925
father,0.0038637160217621317
large,0.003822178059264535
convince,0.0037613793599339026
dance,0.0037266672698652043
present,0.0036455901966144567
sing,0.0035566841084547197
cautious,0.0035297287578108065
top,0.003523554632498344
greatness,0.0034684397685532734
advice,0.00346434560165212
generous,0.003396076624896541
intelligence,0.0033898761821122025
promise,0.003387881658917659
sun,0.00321326936248068
friendly,0.0031123134737493594
proof,0.003069041870013548
moral,0.0030565784739617257
statement,0.003037339026979222
cop,0.0030004208060409963
fix,0.0029898000202870268
real,0.002984448547942078
crown,0.0029544631505577595
believe,0.002946027390409077
privilege,0.0029286611643044845
virtue,0.0029029132145232455
confess,0.0028960402012344153
organization,0.002878286544397278
volunteer,0.002826664754777689
pretty,0.0027944537803103703
enjoy,0.0027583037498075855
encourage,0.002737088421759135
elder,0.0027249818214962742
official,0.002714529303900602
wealth,0.002707810872617964
wisdom,0.0026821599607176295
testimony,0.002640287829949457
bride,0.0026283046710875255
angel,0.002615691324689224
fact,0.002600611439662904
lean,0.0025957933526646482
professional,0.002584128303141331
guidance,0.0025305007130636947
award,0.002503278979645323
foot,0.0024664282424500875
instruction,0.002455824371295937
wear,0.0024451237646435256
zeal,0.002445024407139291
assurance,0.0024442553138554436
inspire,0.002436827391091263
compliment,0.002420072626312659
heaven,0.0023823502177134034
call,0.0023522499618843997
pious,0.002315415191270209
integrity,0.0023056548192676397
fortress,0.002294853625490561
healing,0.0022902188119054995
revival,0.002273831494996022
charitable,0.002253160171023339
hardy,0.0022492741569076955
friendship,0.002245733463738814
generosity,0.00223243152038365
barter,0.002229211658856383
apprentice,0.002228417548133422
mastery,0.0022273722456487145
incline,0.0022258206417875574
medical,0.0022173553580278615
babysitter,0.0022148955859796
clerical,0.0022061174744879976
prefer,0.0021922752138914653
radar,0.002179387238009503
diagnosis,0.002178649237472767
climax,0.0021786492374727667
obey,0.002169206474906597
cover,0.0021687857196659934
grow,0.002146958506624763
cheer,0.0021166755228862427
vote,0.0020811581653054603
monk,0.0020187481204505817
lead,0.0020080609224086385
achievement,0.001998310770954381
structure,0.001958147481574384
commit,0.0019121366500686086
nurse,0.0019005838838840755
rescue,0.001874302848866782
professor,0.0018349263180263238
peaceful,0.0018219303502187436
honorable,0.0018154682183708184
stable,0.0018144963288869054
thoughtful,0.0018002765464286933
confidence,0.0017658507004423463
relative,0.0017587060940516478
practice,0.0017500386009337455
scientist,0.0017262301622525114
lover,0.0017158929465836232
deal,0.001697486701626293
companion,0.0016846747960412053
nun,0.0016801443434641193
system,0.001667330107873302
approve,0.0016501124493963765
loyal,0.001595554710411996
chocolate,0.0015471231699639896
admirable,0.0014908841910273925
assure,0.0014882930969667234
truthful,0.0014796136201454836
reward,0.0014649819264229004
policy,0.0014542965062168689
proud,0.0014542310506546268
lovely,0.001435515679147791
referee,0.0014175628950828152
steady,0.0013843318257610482
wonderful,0.0013181858282315165
advise,0.0013138102457908012
hug,0.0013106757491149123
ground,0.001306233882326717
assist,0.00130284406706687
recommend,0.0012988740856885155
association,0.0012915732350175628
brother,0.0012913800711092545
mentor,0.0012697740514860344
sincere,0.0012553742281521396
badge,0.0012532972382562426
doubt,0.001244770315984369
prepare,0.0012440695167101376
confirm,0.0012359084216451396
officer,0.0012263919430867208
associate,0.0012160513047047151
expert,0.001201069053756927
lord,0.001197952924806469
pleasant,0.0011972234649061959
expect,0.0011857659374783893
loyalty,0.0011836438386957648
trade,0.0011600877847524143
mediate,0.001138811577752152
blanket,0.0010768459052656184
relate,0.0010648200967144463
center,0.0010473236941894303
improve,0.0010401684272458355
glory,0.0010342019367862803
protector,0.0010151652209344662
marry,0.0010013306271491305
root,0.0009551197202896943
unite,0.0009363208096358149
steadfast,0.0009358565278741799
faithful,0.0009207113136380833
weight,0.0009155042047462734
guardian,0.0009113320223655089
witness,0.0009091564112643869
follower,0.0009055317419922359
achieve,0.0008777114547730837
goodness,0.0008761474714820052
equality,0.0008627988862971198
general,0.0008589153957433988
alive,0.0008567457511663528
saint,0.0008496743911086656
confirmation,0.0008443366127960459
guarantee,0.0008380652353134548
theory,0.0008305803465425947
virgin,0.0008022663256436236
divorce,0.000792175488400097
council,0.0007863174579439129
congress,0.0007799183947349109
worship,0.0007749909304482337
manual,0.0007740023820463912
admire,0.0007608456742019497
cash,0.000742612040033318
counsel,0.0007405723387579706
pray,0.0007395743503749073
worthy,0.0007333856708385938
exalt,0.000722066390689976
explain,0.0007182135373273448
determination,0.0007068703971374009
choir,0.0007060837498747284
base,0.0006800650342919999
count,0.0006778739818598229
negotiate,0.0006761408774990141
conscientious,0.0006748958699988202
defend,0.0006700600268180761
nurture,0.000664075821581601
brotherhood,0.000655771870496563
pledge,0.0006502038056513511
credit,0.0006468436756152995
pill,0.0006326029111666133
sheriff,0.0006318100377936043
tender,0.0006269092202592434
enlighten,0.0006223712416121981
excel,0.0006171587539492244
celebrity,0.000605497796004054
advocate,0.0006053636558190576
excellent,0.0005941587059664057
heritage,0.0005921147056459335
machine,0.0005892496615978412
academic,0.0005750732777098407
inform,0.0005649004162097018
brilliant,0.0005648352906205378
adore,0.0005617128340116351
calculator,0.0005576709244257084
shelter,0.0005561019230831581
serve,0.0005515401888457702
elect,0.0005479037146560969
content,0.0005438935557771421
pact,0.0005359948138002694
committee,0.0005327635451562624
personal,0.0005310494199858046
expertise,0.0005290300098909483
noble,0.0005272560977956965
fit,0.0005195312183782579
innocent,0.0005175556566389335
sanctuary,0.0005168945311540348
provide,0.0005100728049757343
attentive,0.0005083846275227562
puppy,0.0005040826542840677
corporation,0.0004791783694253929
genuine,0.00047853879264772256
patience,0.00047782420952429175
spouse,0.0004759150834526522
believer,0.000474805177893068
cherish,0.00046598641649681246
labor,0.00046162159767286086
relevant,0.00045541736813546163
victory,0.00045090953984690247
familiar,0.0004468186590820095
obedience,0.0004405067546795965
revere,0.0004195193397623985
qualify,0.0004118271375539266
deserve,0.00040544878475004683
sponsor,0.0004023680521956624
successful,0.00040181298195610235
fortune,0.00040060898711933153
suggest,0.00039844976146473804
oath,0.0003965569574557819
pastor,0.0003963064821539325
brighten,0.00039258426509166804
trophy,0.00038594324536464915
employ,0.0003815759926029495
coach,0.0003726485955269559
joyful,0.00037246812451025994
persuade,0.00036940300972114324
eager,0.000368309302702588
medal,0.0003603425364033713
director,0.00035837404550829755
celebration,0.0003580483785847625
sage,0.00035501085008696876
glow,0.0003508503878333177
birth,0.00034790316927307184
regal,0.0003467421956258863
continue,0.000341709614301465
routine,0.00033991854672932504
sovereign,0.0003391039892683136
dictionary,0.00033476276842233727
considerate,0.0003328388628703841
virtuous,0.0003309418320548491
reassure,0.0003299507793426943
scientific,0.0003288642022173931
graduation,0.0003249731310211412
unity,0.00032458743531804836
supporter,0.00032303109105678347
confide,0.000322632697375751
perfection,0.0003226145071889183
liberty,0.0003150530374781602
disciple,0.00031372997155347613
vow,0.0003119974383397839
passion,0.0003085525042906392
upright,0.0003079160134084673
level,0.0003016552477438592
iron,0.0003001230185237897
heroic,0.00029853466824783655
title,0.00029725119917215284
soothe,0.0002968688468467592
lawful,0.0002953222588676874
notable,0.00029504079854715895
economy,0.0002881108402311782
harbor,0.00028642897410030295
insure,0.0002839349576824524
partnership,0.00027997177234996925
affirm,0.0002754376511588481
heal,0.00027347767079779735
devout,0.0002722986666357731
cooperative,0.0002720459804480971
seal,0.00027063700615754063
deputy,0.0002660189884589504
treasure,0.00026523161366779306
cooperate,0.00026147466071691096
account,0.0002613388350816871
cuddle,0.00025757021638107554
jury,0.0002571445003269638
servant,0.0002553591947113369
watchful,0.0002526030569040412
sir,0.00025204330584139954
lesson,0.0002511886536153091
patrol,0.00024947458471732384
alliance,0.00024922409517319613
succeed,0.00024697364848534045
resource,0.000246641500830593
policeman,0.00024547161952071715
admiral,0.00024546311085976887
communication,0.0002453794737770402
intense,0.0002448273915563092
eagle,0.00023893349200454378
bargain,0.00023810431162336665
passionate,0.00023617635759580786
haven,0.00023574476665338623
ally,0.00023569146256832992
merit,0.00023479863941518024
clap,0.00023440407471374128
fellow,0.00023041538564679427
cooperation,0.00023017873639932953
exchange,0.0002284219025353359
command,0.00022806899107961673
compass,0.00022789541963201657
hymn,0.00022754081925208943
signature,0.00022614948368289894
champion,0.00022473889369073574
buddy,0.00022471807420468566
appreciation,0.0002200199445144087
playful,0.0002159610408174288
romance,0.00021417184551893252
intuition,0.00021109017062699153
depend,0.00021098364425279424
gospel,0.0002099193274878746
romantic,0.00020973203940577198
affection,0.00020972475937934247
intend,0.00020838531387968085
warranty,0.000207599864346371
punctual,0.00020749944435638943
morality,0.00020303707376496418
excellence,0.00020279279323712625
uplift,0.00019877006277811327
esteem,0.00019718039479673605
nation,0.0001960450514481391
delegate,0.00019478035917050524
swear,0.00019302850992284533
harmony,0.00019291186080698522
steward,0.00019193467109746335
godly,0.00019172112674285097
architecture,0.00018988418273814612
fulfillment,0.0001882136307049826
sentry,0.00018741554062288575
manage,0.00018339596909192722
consult,0.00018332092568214305
majestic,0.00017922458381072496
abundance,0.00017770412724854386
fidelity,0.00017597716574201005
heavenly,0.00017366687658322585
hopeful,0.00017090091663063265
conscience,0.00017085775820370843
humanity,0.00017032934108966494
valor,0.00016959616266205577
hire,0.00016912835542392737
playground,0.00016853830862346116
obvious,0.00016712471155174872
orchestra,0.0001652340646545138
truck,0.00016485333607560112
musical,0.00016475269665452682
assembly,0.00016461251752684897
respectable,0.00016423441510196845
competence,0.00016120062579094694
accountant,0.00015993899155667776
income,0.00015705094176443594
depth,0.00015298515836161667
efficient,0.00014707162634047737
throne,0.00014700484740298584
admiration,0.00014563506086505095
elite,0.00014488857055029592
lamb,0.00014395139975132806
angelic,0.0001436242775807222
management,0.0001416293506109678
grit,0.0001401006841311382
mislead,0.00013586913974829795
heartfelt,0.0001356650173719011
heroism,0.00013528489359658326
neutral,0.00013466618278982007
operation,0.0001332689959692418
grant,0.0001325613225986626
competent,0.0001313183755717571
aspire,0.0001304762459573254
flirt,0.00012879281301990514
stamina,0.0001283561707950809
treat,0.0001266763816381532
inheritance,0.00012580230850985996
budget,0.000125783669989974
dignity,0.0001255096176077384
grammar,0.00012345282360868892
prestige,0.0001220429322005463
salary,0.00012179933847058837
allegiance,0.00012107178332638171
ambulance,0.0001205908918091672
confidential,0.0001198016130518371
objective,0.00011802210042242251
sadness,0.00011763436237310898
ambition,0.0001171748816322474
govern,0.00011641020687457806
bless,0.00011461832286590211
attendant,0.00011407360380302145
instruct,0.0001137311614231824
covenant,0.00011328808559315903
cabinet,0.00011271733659520342
testament,0.00011145970686238327
county,0.0001114312126528797
strengthen,0.00011132598967286735
vicar,0.00011126990401924959
formula,0.00011054771668193058
communicate,0.00010945213006930118
applause,0.0001083045827639123
vitality,0.00010827723792224584
prophet,0.00010762152577165094
rejoice,0.00010688402701776467
caretaker,0.00010367693500615948
optimism,0.0001029476506582142
accurate,0.00010284316754963316
adoration,0.00010284147259309335
effective,0.00010195427401672934
blessing,0.00010168978259669186
comrade,0.00010091973376406611
fort,9.908653309608418e-05
commerce,9.765261825172952e-05
mate,9.674737723884922e-05
gentleman,9.643873243807213e-05
reinforcement,9.619927468811461e-05
durable,9.613681912446374e-05
legislature,9.45991279423186e-05
meditate,9.442501609448058e-05
favorite,9.267574966532593e-05
magnet,8.986026411915e-05
principal,8.959752751004e-05
impartial,8.940068828948874e-05
antidote,8.831188325018294e-05
delightful,8.76275554942364e-05
governor,8.704295051920039e-05
skillful,8.616852989969696e-05
fireman,8.495078613904929e-05
ambassador,8.489522520356705e-05
intimate,8.184639588212218e-05
tribe,8.105551507086969e-05
marine,8.081052264712373e-05
journalism,7.945124085779975e-05
establish,7.833340675512165e-05
kitten,7.805418568244618e-05
embrace,7.761430210816945e-05
respectful,7.754283937482402e-05
opera,7.703274397637313e-05
armor,7.667123541300945e-05
defender,7.621326346076518e-05
chastity,7.200221757685084e-05
commission,7.17754045461574e-05
weigh,6.990223906059343e-05
libel,6.788075409402085e-05
mathematical,6.726423543921974e-05
attorney,6.720030018390744e-05
independence,6.716637346819657e-05
instructor,6.702047669086314e-05
trainer,6.56670853469811e-05
parliament,6.403853046574963e-05
usual,6.395791178574223e-05
aunt,6.369751118186277e-05
convent,6.351290167788547e-05
guru,6.313249769327844e-05
cathedral,6.26355362773309e-05
improvement,6.235542755643329e-05
humility,6.218420390695894e-05
invite,6.195988100180746e-05
bodyguard,6.165572062227637e-05
gate,6.156338883271233e-05
correctness,6.122765171173434e-05
mighty,5.94271450611834e-05
oblige,5.938555381929288e-05
nursery,5.834014493298476e-05
butler,5.788284625688693e-05
theorem,5.779617912713614e-05
faculty,5.6722954264903476e-05
sensual,5.642037527438654e-05
rational,5.558914337086485e-05
lovable,5.55619125429055e-05
perceive,5.4579825348295825e-05
diplomatic,5.315387244458937e-05
offering,5.295382391794754e-05
darling,5.221516337854252e-05
merchant,5.187470882848337e-05
wholesome,5.013349085905149e-05
salvation,5.001203929040151e-05
ranger,5.000541464073754e-05
maintenance,4.920888685229963e-05
aspiration,4.8976371940878914e-05
diary,4.824997755048327e-05
safeguard,4.79754674519951e-05
deed,4.717935472336614e-05
closeness,4.674188037323386e-05
nobility,4.6729605258253286e-05
axiom,4.639325850155841e-05
clan,4.6226182080004734e-05
lieutenant,4.607367227823197e-05
chairwoman,4.5997773867802095e-05
entertainment,4.476914442580732e-05
majority,4.466115355736579e-05
gullible,4.4549141623043794e-05
influential,4.4502653561424945e-05
bounty,4.4317922158185176e-05
transaction,4.3654981543956735e-05
readiness,4.361293343833677e-05
congregation,4.3383633063058004e-05
neighbor,4.324097159611107e-05
constant,4.285732317456113e-05
miracle,4.276991048385068e-05
tranquility,4.2091772727027256e-05
specialist,4.066557116285248e-05
automatic,4.049310018800531e-05
magnificent,4.0449809171179583e-05
retain,4.0405773269290136e-05
eagerness,3.9751040349789075e-05
pilot,3.873662272990332e-05
messenger,3.8068927826204486e-05
bureaucracy,3.7797242332719156e-05
proficient,3.732125197375313e-05
retirement,3.7270579468526664e-05
escort,3.724612510434025e-05
authentic,3.70892524538889e-05
responsive,3.698011814745579e-05
recruit,3.692110500582759e-05
memorable,3.6808670999568826e-05
apostle,3.655818972058474e-05
backbone,3.6304327747389656e-05
grandfather,3.625884794049023e-05
banker,3.6123989139795915e-05
physicist,3.5877068729009106e-05
serenity,3.56783731991607e-05
accord,3.5252274753649805e-05
deceive,3.488240385753284e-05
author,3.4787207826062286e-05
emphasize,3.422709939650295e-05
friendliness,3.410859178523223e-05
serene,3.3362747673165496e-05
remarkable,3.269401038703512e-05
ballot,3.250426092527212e-05
fundamental,3.198076932177745e-05
diplomacy,3.18800272752681e-05
dare,3.154404663837763e-05
majesty,3.062324297250488e-05
dawn,3.045977463471888e-05
superman,3.03647660834349e-05
civilization,3.0313789326543196e-05
fill,2.9639050757301003e-05
fortitude,2.9593069304435972e-05
senate,2.8967325012182456e-05
series,2.892220846824318e-05
triumphant,2.873698828120104e-05
solidarity,2.8558420853313838e-05
foresight,2.8001830087853728e-05
toughness,2.7835222691541338e-05
warn,2.779371502653622e-05
disclose,2.760814657136645e-05
veal,2.7173918437658583e-05
unwavere,2.695983053365274e-05
sweetheart,2.6724472291296692e-05
god,2.6366242735188223e-05
forgiving,2.570883865143336e-05
tribune,2.5159429958293972e-05
oasis,2.5053294592020312e-05
chemist,2.4935255255751477e-05
foresee,2.4784922087209127e-05
elegance,2.4761712996769514e-05
diligence,2.4222815417894705e-05
dutiful,2.221238981360099e-05
nest,2.1679349986430852e-05
philosopher,2.1613591902850126e-05
physician,2.125350905283606e-05
optimist,1.9705797284483014e-05
navigator,1.949720129837387e-05
modest,1.9196427930016733e-05
doubtless,1.9140400319916288e-05
heroine,1.9069812352524136e-05
parish,1.8803218388982513e-05
shoulder,1.837150498758255e-05
umpire,1.8260151098484332e-05
falsehood,1.8255571995667957e-05
candid,1.8166022897217937e-05
rod,1.815207866659483e-05
censor,1.784957441100783e-05
cap,1.7658311152860163e-05
immerse,1.7538141730994932e-05
colonel,1.7191412102663696e-05
label,1.716752235140195e-05
cashier,1.6460023714976856e-05
dependent,1.591679850629463e-05
sermon,1.5841113850431137e-05
amen,1.578772894121931e-05
owe,1.5663160549824468e-05
dolphin,1.5610051054710902e-05
dogma,1.5518290075508355e-05
conformity,1.5259620459609368e-05
infinity,1.5172556399980898e-05
endless,1.5172556399980898e-05
sympathetic,1.4796828362699207e-05
framework,1.4365673541001063e-05
matrimony,1.4010310208919768e-05
poll,1.400237019485408e-05
prudent,1.3760465682722813e-05
encyclopedia,1.3494351031316648e-05
sappy,1.3365676954264358e-05
ensemble,1.3239352163845809e-05
progression,1.3150290262892704e-05
cradle,1.288242955005197e-05
remedy,1.2766042007121207e-05
custodian,1.2570657266442603e-05
assert,1.2566859025242847e-05
carol,1.1885152730581688e-05
grin,1.1865783930673693e-05
agreeable,1.154539426889329e-05
hermit,1.1227804149658788e-05
counselor,1.0951059253244686e-05
chart,1.0639686595365934e-05
fiesta,1.0485281498330543e-05
leisure,1.040326505464695e-05
truce,1.0364135236090758e-05
evident,1.0309806938282405e-05
judicial,9.875640333554089e-06
attest,9.588678172650316e-06
enlightenment,9.52945418046492e-06
saintly,8.806992727777e-06
immaculate,8.805641226239149e-06
tickle,8.703207848423915e-06
savor,8.123480775325877e-06
pertinent,8.107471453877374e-06
picnic,7.739153845934542e-06
proxy,7.610201046892768e-06
chuckle,7.126083140480498e-06
holiness,7.0225386697567414e-06
digit,6.867761952602746e-06
mediator,6.669859944349572e-06
shepherd,6.630740383357092e-06
reliability,6.603440627117683e-06
linguist,5.908995010619789e-06
fugitive,5.741832154333724e-06
conglomerate,5.723680304750375e-06
doctrine,5.53833057000639e-06
yearn,5.511436100391495e-06
maxim,5.495469245791603e-06
sterling,5.368161678148369e-06
quaint,5.146773533065929e-06
accolade,5.063401834921373e-06
venerable,4.958752644559549e-06
reunion,4.739872745840408e-06
honeymoon,4.628724327012969e-06
chairman,4.53592253497994e-06
assessment,3.994319882697856e-06
veteran,3.980272750254283e-06
apologize,3.720829975046915e-06
freely,3.663755824960285e-06
cement,3.617545981588304e-06
microscope,3.5178075446339697e-06
pivot,3.3620516070031085e-06
benefactor,3.087408299229543e-06
cube,2.9801587968650907e-06
analyst,2.881497667445242e-06
finally,2.8399302094010645e-06
vouch,2.6293058651790225e-06
thrift,2.5058361788327485e-06
straightforward,2.4542838585581003e-06
sisterhood,2.281890582456143e-06
spa,2.2529261514610677e-06
unquestione,2.196567976301988e-06
impart,2.1897540268610383e-06
calf,2.044956418263891e-06
monogamy,1.9104759372491865e-06
cultivate,1.6867677638569919e-06
custody,1.6184565533432877e-06
translation,1.5651363647331022e-06
befriend,1.5075808746551665e-06
communion,1.4893236902234302e-06
grandchild,1.2464843664659288e-06
gauge,1.1879221578368413e-06
purr,1.1210693957074953e-06
entrust,1.0337625868274256e-06
gateway,1.0109450942978333e-06
discretion,9.445399049413968e-07
authorize,9.172245300069019e-07
commendable,7.73886715160076e-07
conservation,7.520068398594312e-07
rave,6.529530365085767e-07
elucidate,6.322238641976886e-07
compliance,6.151739745940784e-07
dove,4.4295823724414237e-07
z,0.0
tantamount,0.0
symmetry,0.0
usher,0.0
sneak,0.0
vigilant,0.0
unreliable,0.0
veracity,0.0
verification,0.0
stark,0.0
tutelage,0.0
truthfulness,0.0
substantiate,0.0
thermometer,0.0
spotless,0.0
visionary,0.0
superstar,0.0
watchman,0.0
surety,0.0
solidity,0.0
tactic,0.0
abacus,0.0
sentinel,0.0
crew,0.0
complement,0.0
concordance,0.0
confessional,0.0
constable,0.0
coronation,0.0
corroborate,0.0
countryman,0.0
courier,0.0
courtship,0.0
credence,0.0
credential,0.0
credibility,0.0
crescendo,0.0
crisp,0.0
compensate,0.0
crucial,0.0
culinary,0.0
deacon,0.0
deference,0.0
differential,0.0
dispose,0.0
dominion,0.0
don,0.0
dubious,0.0
durability,0.0
ejaculation,0.0
enable,0.0
enchant,0.0
competency,0.0
compact,0.0
enliven,0.0
authorization,0.0
accountable,0.0
accredit,0.0
adhere,0.0
administrative,0.0
adviser,0.0
akin,0.0
amour,0.0
antiseptic,0.0
arbiter,0.0
assuredly,0.0
atone,0.0
authenticate,0.0
authoritative,0.0
backer,0.0
coax,0.0
bartender,0.0
benevolence,0.0
betroth,0.0
bloom,0.0
bouquet,0.0
bridal,0.0
bursary,0.0
bylaw,0.0
canon,0.0
captivate,0.0
chancellor,0.0
chaplain,0.0
civilized,0.0
endow,0.0
erotic,0.0
secrecy,0.0
pry,0.0
mule,0.0
notary,0.0
ordinance,0.0
paragon,0.0
partake,0.0
patronage,0.0
pawn,0.0
perennial,0.0
philanthropic,0.0
philanthropist,0.0
priesthood,0.0
privy,0.0
proctor,0.0
purify,0.0
ministry,0.0
radiance,0.0
rapt,0.0
reassurance,0.0
recline,0.0
reliance,0.0
reparation,0.0
repay,0.0
reporter,0.0
reputable,0.0
respite,0.0
restorative,0.0
reverence,0.0
sanctify,0.0
moat,0.0
midwife,0.0
errand,0.0
hail,0.0
evergreen,0.0
eyewitness,0.0
favorable,0.0
firmness,0.0
forecast,0.0
forefather,0.0
formality,0.0
frank,0.0
frankness,0.0
fraternal,0.0
fully,0.0
glorify,0.0
governess,0.0
handbook,0.0
matron,0.0
humanitarian,0.0
illumination,0.0
immovable,0.0
impeccable,0.0
journeyman,0.0
jubilant,0.0
judiciary,0.0
lace,0.0
landmark,0.0
laser,0.0
legislator,0.0
lovemake,0.0
magnificence,0.0
zealous,0.0
